id_piattaforma,nome,url_sito,logo_url,prezzo_mensile,paese_origine
"1","Netflix","https://netflix.com","https://logo.clearbit.com/netflix.com","15.99","USA"
"2","Amazon Prime Video","https://primevideo.com","https://logo.clearbit.com/amazon.com","4.99","USA"
"3","Disney+","https://disneyplus.com","https://logo.clearbit.com/disneyplus.com","8.99","USA"
"4","HBO Max","https://max.com","https://logo.clearbit.com/hbo.com","15.99","USA"
"5","Apple TV+","https://tv.apple.com","https://logo.clearbit.com/apple.com","9.99","USA"
"6","Paramount+","https://paramountplus.com","https://logo.clearbit.com/paramount.com","7.99","USA"
"7","Peacock","https://peacocktv.com","https://logo.clearbit.com/peacocktv.com","5.99","USA"
"8","Hulu","https://hulu.com","https://logo.clearbit.com/hulu.com","7.99","USA"
"9","NOW TV","https://nowtv.it","https://logo.clearbit.com/now.com","9.99","UK"
"10","RaiPlay","https://raiplay.it","https://logo.clearbit.com/raiplay.it","0.00","Italia"
"11","Mediaset Infinity","https://mediasetinfinity.it","https://logo.clearbit.com/mediaset.it","7.99","Italia"
"12","Crunchyroll","https://crunchyroll.com","https://logo.clearbit.com/crunchyroll.com","9.99","USA"
"13","Mubi","https://mubi.com","https://logo.clearbit.com/mubi.com","10.99","UK"
"14","Shudder","https://shudder.com","https://logo.clearbit.com/shudder.com","5.99","USA"
"15","Discovery+","https://discoveryplus.com","https://logo.clearbit.com/discovery.com","3.99","USA"
"16","Pluto TV","https://pluto.tv","https://logo.clearbit.com/pluto.tv","0.00","USA"
"17","SkyGo","https://skygo.sky.it","https://logo.clearbit.com/sky.it","14.99","UK"
"18","Viaplay","https://viaplay.com","https://logo.clearbit.com/viaplay.com","10.99","Svezia"
"19","Funimation","https://funimation.com","https://logo.clearbit.com/funimation.com","7.99","USA"
"20","Criterion Channel","https://criterionchannel.com","https://logo.clearbit.com/criterion.com","10.99","USA"
