id_media,id_piattaforma,disponibile_dal
"2","4",""
"2","9",""
"3","4",""
"3","9",""
"4","4",""
"4","9",""
"5","4",""
"5","9",""
"6","4",""
"6","9",""
"7","4",""
"7","9",""
"8","4",""
"8","9",""
"9","4",""
"9","9",""
"10","4",""
"10","9",""
"11","4",""
"11","9",""
"12","4",""
"12","9",""
"14","4",""
"14","9",""
"15","4",""
"15","9",""
"16","4",""
"16","9",""
"17","4",""
"17","9",""
"18","4",""
"18","9",""
"20","1",""
"21","1",""
"22","1",""
"23","1",""
"24","1",""
"25","1",""
"26","1",""
"27","1",""
"28","1",""
"29","1",""
"30","1",""
"32","2",""
"33","2",""
"34","2",""
"34","9",""
"35","2",""
"38","1",""
"40","3",""
"41","3",""
"42","3",""
"44","3",""
"45","3",""
"46","1",""
"46","3",""
"47","3",""
"48","1",""
"48","4",""
"49","1",""
"49","3",""
"50","1",""
"50","2",""
"51","1",""
"52","1",""
"53","2",""
"54","1",""
"55","1",""
"56","1",""
"57","1",""
"58","5",""
"59","5",""
"60","2",""
"61","12",""
"62","12",""
"63","12",""
"64","1",""
"64","12",""
"65","1",""
"65","12",""
"66","12",""
"67","1",""
"67","12",""
"68","1",""
"68","12",""
"69","1",""
"70","10",""
"71","1",""
"72","1",""
"73","1",""
"74","1",""
"75","4",""
"75","9",""
"80","1",""
"30001","1",""
"30002","2",""
"30003","9",""
"30004","1",""
"30005","2",""
"30006","1",""
